id,number,title,user,state,created_at,closed_at,comments,open_duration_days
3499317265,270560,chat not working,Jass20244,open,2025-10-09T14:00:51+00:00,,0,
3499308503,270559,Instruction,makam68111,open,2025-10-09T13:58:27+00:00,,0,
3499291154,270558,File created in command line are saved in another directory,Youngerkind,open,2025-10-09T13:54:05+00:00,,0,
3499277677,270557,shitty microsoft operating system,fullmybijin,open,2025-10-09T13:51:14+00:00,,0,
3499271942,270556,annoying copilot microsoft censorship,fullmybijin,closed,2025-10-09T13:49:44+00:00,2025-10-09T13:52:19+00:00,1,0.0
3499270234,270555,You suck microsoft and your lousy copilot!,fullmybijin,closed,2025-10-09T13:49:10+00:00,2025-10-09T13:52:00+00:00,1,0.0
3499259262,270554,companion,makam68111,open,2025-10-09T13:45:44+00:00,,0,
3499250835,270553,Copilot Chat history disappears after selecting older chat and opening chat as editor tab,rchapin418,open,2025-10-09T13:43:22+00:00,,0,
3499172893,270552,File created in command line will be saved in another directory,Youngerkind,closed,2025-10-09T13:25:26+00:00,2025-10-09T13:37:38+00:00,0,0.0
3499140270,270551,Extension Signature Verification Failed: GitHub Actions,Duong-TieuLy,open,2025-10-09T13:16:58+00:00,,0,
